class,precision,recall,f1_score,support
A,1.0,0.99,0.99,579.0
B,1.0,1.0,1.0,562.0
C,1.0,1.0,1.0,583.0
D,1.0,0.99,1.0,550.0
E,1.0,1.0,1.0,574.0
F,0.92,1.0,0.96,450.0
G,0.98,1.0,0.99,550.0
I,1.0,0.99,0.99,550.0
L,1.0,0.97,0.99,550.0
M,1.0,1.0,1.0,550.0
N,1.0,1.0,1.0,550.0
O,1.0,1.0,1.0,550.0
P,0.98,1.0,0.99,550.0
Q,1.0,1.0,1.0,550.0
R,1.0,1.0,1.0,550.0
S,0.99,1.0,0.99,550.0
T,1.0,0.93,0.96,550.0
U,1.0,1.0,1.0,550.0
V,1.0,1.0,1.0,550.0
W,1.0,1.0,1.0,550.0
Y,1.0,1.0,1.0,550.0
